         382           4           3
Mon Jul 11 15:41:34 2005
classA_62.fits
    lambda (um)    Flux (Jy)   Sigma (Jy)    AOT ident.
      6.40031     0.153375     0.596163      0.00000
      6.40231     0.169226     0.567334      0.00000
      6.40431     0.171217     0.404606      0.00000
      6.40632     0.151062     0.511581      0.00000
      6.40832     0.140175     0.567813      0.00000
      6.41032     0.141874     0.542586      0.00000
      6.41232     0.155735     0.616138      0.00000
      6.41433     0.144486     0.691579      0.00000
      6.41633     0.145371     0.486019      0.00000
      6.41834     0.142200     0.393826      0.00000
      6.42034     0.139074     0.454915      0.00000
      6.42235     0.140104     0.305516      0.00000
      6.42436     0.131080     0.495302      0.00000
      6.42637     0.128063     0.790663      0.00000
      6.42838     0.147063     0.672781      0.00000
      6.43038     0.154478     0.802820      0.00000
      6.43239     0.140029     0.629486      0.00000
      6.43440    0.0900384     0.691932      0.00000
      6.43642    0.0758002      1.03989      0.00000
      6.43843    0.0912412     0.872536      0.00000
      6.44044    0.0907327     0.790000      0.00000
      6.44245    0.0894487     0.474165      0.00000
      6.44447    0.0839689     0.635661      0.00000
      6.44648     0.104986     0.681637      0.00000
      6.44850     0.127222     0.704404      0.00000
      6.45051     0.136991     0.519404      0.00000
      6.45253     0.108711     0.692321      0.00000
      6.45454    0.0798881     0.517809      0.00000
      6.45656    0.0617503     0.390270      0.00000
      6.45858    0.0836705     0.295557      0.00000
      6.46060    0.0850004     0.754683      0.00000
      6.46262    0.0797365     0.733619      0.00000
      6.46464    0.0584082     0.590799      0.00000
      6.46666    0.0604912     0.619430      0.00000
      6.46868    0.0845628     0.452729      0.00000
      6.47070     0.101591     0.588925      0.00000
      6.47272     0.104336     0.845979      0.00000
      6.47475    0.0853346     0.741507      0.00000
      6.47677    0.0464200     0.578982      0.00000
      6.47879   0.00945175     0.645249      0.00000
      6.48082   -0.0126437     0.841701      0.00000
      6.48284   0.00614470     0.709648      0.00000
      6.48487    0.0369684     0.767971      0.00000
      6.48690    0.0633505     0.408294      0.00000
      6.48892    0.0583524     0.410161      0.00000
      6.49095    0.0344198     0.686063      0.00000
      6.49298    0.0178892     0.456878      0.00000
      6.49501    0.0197643     0.364569      0.00000
      6.49704   0.00770643     0.611493      0.00000
      6.49907   0.00200472     0.512071      0.00000
      6.50110    0.0119531     0.928800      0.00000
      6.50313    0.0422401     0.702447      0.00000
      6.50517    0.0646817     0.541998      0.00000
      6.50720    0.0714526     0.377838      0.00000
      6.50923    0.0760226     0.556136      0.00000
      6.51127    0.0670581     0.772409      0.00000
      6.51330    0.0646987     0.716669      0.00000
      6.51534    0.0497011     0.811284      0.00000
      6.51738    0.0575896      1.04337      0.00000
      6.51941    0.0905334      1.18106      0.00000
      6.52145     0.154869      1.37977      0.00000
      6.52349     0.180885      1.71526      0.00000
      6.52553     0.140323      1.50576      0.00000
      6.52757    0.0985613      1.25633      0.00000
      6.52961    0.0715149      1.11954      0.00000
      6.53165    0.0821026     0.397195      0.00000
      6.53369    0.0761151     0.483223      0.00000
      6.53573    0.0598951     0.767265      0.00000
      6.53777    0.0392625      1.22858      0.00000
      6.53982    0.0475158      1.43415      0.00000
      6.54186    0.0343165     0.832841      0.00000
      6.54391    0.0326275      1.03139      0.00000
      6.54595    0.0143605      1.27772      0.00000
      6.54800    0.0166254      1.27079      0.00000
      6.55004    0.0192696     0.970036      0.00000
      6.55209    0.0114235     0.821878      0.00000
      6.55414    0.0115037     0.907219      0.00000
      6.55619    0.0194464     0.428566      0.00000
      6.55824    0.0534733     0.640120      0.00000
      6.56029    0.0770268     0.879441      0.00000
      6.56234    0.0516769      1.16403      0.00000
      6.56439    0.0163633     0.624727      0.00000
      6.56644    0.0143605     0.533316      0.00000
      6.56849    0.0464206     0.477472      0.00000
      6.57055    0.0477462     0.276381      0.00000
      6.57260    0.0346498     0.722818      0.00000
      6.57465    0.0163265     0.955059      0.00000
      6.57671   0.00359617     0.849617      0.00000
      6.57876   -0.0121939      1.00535      0.00000
      6.58082  -0.00503385     0.673312      0.00000
      6.58288    0.0118110     0.579893      0.00000
      6.58493    0.0385229     0.723809      0.00000
      6.58699    0.0482531     0.846645      0.00000
      6.58905    0.0453360     0.897135      0.00000
      6.59111    0.0234633     0.751244      0.00000
      6.59317   0.00953697     0.887384      0.00000
      6.59523   0.00696248      1.09446      0.00000
      6.59729    0.0127537     0.842904      0.00000
      6.59935    0.0202029     0.557887      0.00000
      6.60142    0.0344821     0.618067      0.00000
      6.60348    0.0620828     0.670910      0.00000
      6.60554    0.0771951     0.763254      0.00000
      6.60761    0.0749106     0.874965      0.00000
      6.60967    0.0467877     0.956466      0.00000
      6.61174    0.0284992     0.815404      0.00000
      6.61381    0.0259013      1.00670      0.00000
      6.61587    0.0476056     0.834202      0.00000
      6.61794    0.0786154     0.927255      0.00000
      6.62001    0.0835565     0.636208      0.00000
      6.62208    0.0692296     0.481269      0.00000
      6.62415    0.0376078     0.583080      0.00000
      6.62622    0.0350919     0.386641      0.00000
      6.62829    0.0446605     0.395454      0.00000
      6.63036    0.0567193     0.432027      0.00000
      6.63243    0.0720351     0.511442      0.00000
      6.63451    0.0818980     0.670665      0.00000
      6.63658    0.0860098      1.13627      0.00000
      6.63865    0.0916327      1.27038      0.00000
      6.64073     0.118212     0.926273      0.00000
      6.64281     0.125893     0.812040      0.00000
      6.64488    0.0898898     0.760565      0.00000
      6.64696    0.0353967     0.539433      0.00000
