         891           4           3
Mon Jul 11 16:08:31 2005
classA_77_86.fits
    lambda (um)    Flux (Jy)   Sigma (Jy)    AOT ident.
      8.03564     0.113868     0.359491      0.00000
      8.03815     0.125365     0.340547      0.00000
      8.04066     0.125784     0.367005      0.00000
      8.04318     0.126420     0.342552      0.00000
      8.04569     0.131857     0.292161      0.00000
      8.04820     0.138475     0.381267      0.00000
      8.05072     0.125577     0.416221      0.00000
      8.05324     0.106284     0.348336      0.00000
      8.05575     0.106086     0.361517      0.00000
      8.05827     0.120577     0.365390      0.00000
      8.06079     0.124645     0.277474      0.00000
      8.06331     0.105657     0.358149      0.00000
      8.06583    0.0902824     0.384482      0.00000
      8.06835    0.0826661     0.376205      0.00000
      8.07087    0.0792197     0.277929      0.00000
      8.07339    0.0689192     0.304228      0.00000
      8.07592    0.0607731     0.339633      0.00000
      8.07844    0.0619990     0.275346      0.00000
      8.08097    0.0650108     0.259405      0.00000
      8.08349    0.0683077     0.269167      0.00000
      8.08602    0.0724329     0.316548      0.00000
      8.08855    0.0811379     0.466116      0.00000
      8.09107    0.0632419     0.465543      0.00000
      8.09360    0.0339558      1.42299      0.00000
      8.09613    0.0120480      1.28357      0.00000
      8.09866    0.0168620     0.393813      0.00000
      8.10119    0.0365398     0.342021      0.00000
      8.10373    0.0402913     0.306304      0.00000
      8.10626    0.0464359     0.465802      0.00000
      8.10879    0.0475127     0.440459      0.00000
      8.11133    0.0573417     0.328010      0.00000
      8.11386    0.0579105     0.370414      0.00000
      8.11640    0.0444269     0.386613      0.00000
      8.11894    0.0242657     0.303679      0.00000
      8.12147    0.0170047     0.285241      0.00000
      8.12401    0.0212835     0.237516      0.00000
      8.12655    0.0223075     0.304414      0.00000
      8.12909    0.0164419     0.279454      0.00000
      8.13163   0.00642242     0.244218      0.00000
      8.13417   0.00317326     0.295211      0.00000
      8.13671 -0.000636745     0.391379      0.00000
      8.13926   0.00502652     0.384429      0.00000
      8.14180   0.00345416     0.290753      0.00000
      8.14435   0.00321292     0.412220      0.00000
      8.14689   0.00611048     0.409868      0.00000
      8.14944    0.0138427     0.264898      0.00000
      8.15199    0.0241446     0.222169      0.00000
      8.15453    0.0283115     0.209605      0.00000
      8.15708    0.0348670     0.342172      0.00000
      8.15963    0.0398988     0.332885      0.00000
      8.16218    0.0363771     0.251880      0.00000
      8.16473    0.0288276     0.251837      0.00000
      8.16728    0.0193466     0.260096      0.00000
      8.16984   0.00891918     0.498875      0.00000
      8.17239  -0.00368677     0.574433      0.00000
      8.17495   -0.0108739     0.379037      0.00000
      8.17750   -0.0111388     0.320575      0.00000
      8.18006  -0.00595357     0.290869      0.00000
      8.18261   0.00160612     0.225533      0.00000
      8.18517    0.0131289     0.335411      0.00000
      8.18773    0.0227968     0.320987      0.00000
      8.19029    0.0280536     0.238650      0.00000
      8.19285    0.0220438     0.248975      0.00000
