         426           4           3
Mon Jul 11 15:35:17 2005
classB_11.fits
    lambda (um)    Flux (Jy)   Sigma (Jy)    AOT ident.
      11.2971     0.855505      4.72536      7.00000
      11.3001     0.826620      3.77405      7.00000
      11.3028     0.801271      2.90553      7.00000
      11.3058     0.789433      3.44183      7.00000
      11.3085     0.790068      2.45782      7.00000
      11.3112     0.794599      2.40023      7.00000
      11.3142     0.793187      2.88717      7.00000
      11.3172     0.780612      3.22673      7.00000
      11.3199     0.757674      2.98064      7.00000
      11.3226     0.732393      4.23473      7.00000
      11.3256     0.713773      3.22352      7.00000
      11.3283     0.705991      3.74582      7.00000
      11.3313     0.706571      3.31206      7.00000
      11.3340     0.708412      3.60041      7.00000
      11.3367     0.703232      3.18658      7.00000
      11.3397     0.686451      4.31884      7.00000
      11.3427     0.661629      4.78127      7.00000
      11.3454     0.636239      4.69781      7.00000
      11.3481     0.617000      4.77805      7.00000
      11.3511     0.607748      4.75168      7.00000
      11.3541     0.606183      3.57165      7.00000
      11.3568     0.604105      2.59146      7.00000
      11.3595     0.594868      3.11146      7.00000
      11.3625     0.576005      3.33176      7.00000
      11.3652     0.550196      3.94469      7.00000
      11.3682     0.523960      4.11739      7.00000
      11.3709     0.504561      3.56125      7.00000
      11.3736     0.495726      3.10029      7.00000
      11.3766     0.494309      2.55518      7.00000
      11.3796     0.492669      3.62770      7.00000
      11.3823     0.484990      3.69511      7.00000
      11.3850     0.468844      3.08822      7.00000
      11.3880     0.446793      2.71087      7.00000
      11.3910     0.426195      2.58145      7.00000
      11.3937     0.414698      2.51060      7.00000
      11.3964     0.413745      2.93524      7.00000
      11.3994     0.418132      3.55866      7.00000
      11.4024     0.419843      3.23111      7.00000
      11.4051     0.412684      2.61705      7.00000
      11.4078     0.395449      3.07182      7.00000
      11.4108     0.372937      3.69798      7.00000
      11.4138     0.354214      3.75943      7.00000
      11.4165     0.346544      3.27164      7.00000
      11.4192     0.350701      3.34935      7.00000
      11.4222     0.359408      2.35511      7.00000
      11.4252     0.363601      1.81526      7.00000
      11.4279     0.358310      2.55030      7.00000
      11.4307     0.343876      4.38684      7.00000
      11.4337     0.326339      3.41443      7.00000
      11.4366     0.315553      2.64114      7.00000
      11.4394     0.316630      2.50399      7.00000
      11.4421     0.326239      2.63806      7.00000
      11.4451     0.335689      2.61254      7.00000
      11.4481     0.337555      2.84967      7.00000
      11.4508     0.327745      2.31578      7.00000
      11.4535     0.310026      2.28731      7.00000
      11.4565     0.293544      3.77831      7.00000
      11.4595     0.286456      2.54594      7.00000
      11.4622     0.290319      2.57541      7.00000
      11.4649     0.301014      1.95626      7.00000
      11.4679     0.310418      1.94996      7.00000
      11.4709     0.310144      2.09224      7.00000
      11.4737     0.298831      3.66824      7.00000
      11.4764     0.280774      3.13877      7.00000
      11.4796     0.263682      2.39308      7.00000
      11.4824     0.254442      3.14422      7.00000
      11.4851     0.255930      3.57566      7.00000
      11.4881     0.264982      4.11349      7.00000
      11.4911     0.272918      3.17686      7.00000
      11.4938     0.272154      4.15023      7.00000
      11.4965     0.259471      5.04967      7.00000
      11.4995     0.238589      5.13168      7.00000
