         568           4           3
Mon Jul 11 16:09:02 2005
classC_77_86.fits
    lambda (um)    Flux (Jy)   Sigma (Jy)    AOT ident.
      8.18762     0.941646     0.387925      7.00000
      8.19172     0.945724     0.324085      7.00000
      8.19582     0.946701     0.274849      7.00000
      8.19991     0.945141     0.293634      7.00000
      8.20401     0.961281     0.287199      7.00000
      8.20812     0.947982     0.304194      7.00000
      8.21222     0.938044     0.262822      7.00000
      8.21633     0.929788     0.171079      7.00000
      8.22044     0.935488     0.162927      7.00000
      8.22455     0.958365     0.187047      7.00000
      8.22866     0.970147     0.188302      7.00000
      8.23278     0.983442     0.219959      7.00000
      8.23690     0.960462     0.172986      7.00000
      8.24102     0.936040     0.158067      7.00000
      8.24514     0.946767     0.214633      7.00000
      8.24926     0.967450     0.247047      7.00000
      8.25339     0.992954     0.216933      7.00000
      8.25751     0.939650     0.255974      7.00000
      8.26164     0.890629     0.412548      7.00000
      8.26578     0.885055     0.426188      7.00000
      8.26991     0.924215     0.286926      7.00000
      8.27405     0.988099     0.197977      7.00000
      8.27818      1.00000     0.333183      7.00000
      8.28232     0.996246     0.398923      7.00000
      8.28647     0.957260     0.249525      7.00000
      8.29061     0.932776     0.392798      7.00000
      8.29476     0.895096     0.364918      7.00000
      8.29891     0.890203     0.331670      7.00000
      8.30306     0.901320     0.370326      7.00000
      8.30721     0.930394     0.400578      7.00000
      8.31136     0.921067     0.329345      7.00000
      8.31552     0.922494     0.289445      7.00000
      8.31968     0.896363     0.396728      7.00000
      8.32384     0.867446     0.553910      7.00000
      8.32800     0.815347     0.117788      7.00000
      8.33217     0.795165     0.133218      7.00000
      8.33633     0.807009     0.186917      7.00000
      8.34050     0.804094     0.212826      7.00000
      8.34468     0.834472     0.275942      7.00000
      8.34885     0.836882     0.301812      7.00000
      8.35302     0.846197     0.294024      7.00000
      8.35720     0.843020     0.242408      7.00000
      8.36138     0.860117     0.232546      7.00000
      8.36556     0.877396     0.299703      7.00000
      8.36975     0.851980     0.222211      7.00000
      8.37393     0.817195     0.142746      7.00000
      8.37812     0.797481     0.156116      7.00000
      8.38231     0.812696     0.231796      7.00000
      8.38650     0.810298     0.153487      7.00000
      8.39070     0.794886     0.221324      7.00000
      8.39489     0.787174     0.211401      7.00000
